"mutant_ID","pool","firma","7dpiAlfL_KSUMA","7dpiAlfL_KValor M","7dpiAlfL_Kt-test","7dpiAlfL_HSUMA","7dpiAlfL_HValor M","7dpiAlfL_Ht-test","position","region","contig","Locus_tag","Gene","Protein"
"2011mTn5STM.1.01.E04",1.00,52.00,20.75,0.33,0.33,83.50,0.21,0.37,740088.00,"AE006469_739","pSymA","SMa1353","SMa1353","epimerase"
"2011mTn5STM.1.01.E05",1.00,53.00,177.25,0.36,0.03,289.50,0.16,0.31,2161171.00,"SME591688_2039","chromosome","SMc04171","SMc04171","hemolysin-type calcium-binding protein"
"2011mTn5STM.1.01.E06",1.00,54.00,161.75,0.12,0.52,176.75,-0.28,0.06,938554.00,"SME591688_872","chromosome","SMc00849","SMc00849","hypothetical protein"
"2011mTn5STM.1.01.E07",1.00,55.00,160.00,0.09,0.51,150.25,0.05,0.81,3224135.00,"SME591688_3036","chromosome","SMc03113","TRm5N","partial transposase for insertion sequence element ISRM5"
"2011mTn5STM.1.01.E08",1.00,56.00,79.25,-0.28,0.14,123.50,-0.05,0.82,976715.00,"]--Intergenic--[","pSymA","--"," Intergenic","Non coding"
"2011mTn5STM.1.01.E09",1.00,122.00,309.25,-3.25,1.68263987136739e-04,254.75,-2.71,6.0185135490511e-05,580096.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.01.E10",1.00,58.00,104.75,0.05,0.53,279.75,0.04,0.60,886676.00,"]--Intergenic--[","chromosome","SMc00897","pmbA","PMBA protein"
"2011mTn5STM.1.01.E11",1.00,59.00,271.50,0.06,0.26,461.75,0.04,0.77,414801.00,"AE006469_410","pSymA","SMa0765","fixN2","cbb3-type cytochrome c oxidase subunit I"
"2011mTn5STM.1.01.E12",1.00,60.00,362.00,0.02,0.82,347.00,-0.29,0.02,1631912.00,"]--Intergenic--[","pSymB","SM_b20614","SM_b20614","hypothetical protein"
"2011mTn5STM.1.01.F01",1.00,121.00,276.50,0.19,0.24,372.00,0.13,0.14,1061358.00,"RME591985_973","pSymB","SM_b21534","SM_b21534","dehydrogenase"
"2011mTn5STM.1.01.F02",1.00,62.00,401.75,0.17,0.16,520.50,0.21,9.36983157914983e-03,500386.00,"SME591688_465","chromosome","SMc01710","SMc01710","hypothetical protein"
"2011mTn5STM.1.01.F03",1.00,63.00,193.50,-0.26,0.31,212.25,-0.21,0.06,1231974.00,"AE006469_1188","pSymA","SMa2199","SMa2199","ABC transporter substrate-binding protein"
"2011mTn5STM.1.01.F04",1.00,64.00,538.25,0.83,0.02,739.75,0.86,0.01,,"","","","",""
"2011mTn5STM.1.01.F05",1.00,65.00,212.50,0.11,0.01,313.75,-0.07,0.63,815349.00,"AE006469_807","pSymA","SMa1483","SMa1483","dehydrogenase"
"2011mTn5STM.1.01.F06",1.00,66.00,145.75,0.04,0.63,334.50,0.11,0.32,2648462.00,"SME591688_2499","chromosome","SMc01825","SMc01825","ABC transporter permease"
"2011mTn5STM.1.01.F07",1.00,67.00,267.50,0.08,0.41,283.00,6.77803776393897e-04,0.99,1081171.00,"SME591688_1003","chromosome","SMc00115","SMc00115","hypothetical protein"
"2011mTn5STM.1.01.F08",1.00,68.00,1.00,-0.36,0.40,3.50,0.21,0.78,649505.00,"]--Intergenic--[","pSymB","--"," Intergenic","Non coding"
"2011mTn5STM.1.01.F09",1.00,69.00,206.50,-0.13,0.46,253.00,-0.22,0.12,1424271.00,"RME591985_1329","pSymB","SM_b21499","SM_b21499","hypothetical protein"
"2011mTn5STM.1.01.F10",1.00,70.00,137.50,0.14,0.38,308.50,-0.03,0.78,176501.00,"SME591688_158","chromosome","SMc02829","SMc02829","ABC transporter ATP-binding protein"
"2011mTn5STM.1.01.F11",1.00,71.00,337.75,-0.22,0.10,277.75,-0.24,0.14,3464239.00,"SME591688_3240","chromosome","SMc03799","SMc03799","hypothetical protein"
"2011mTn5STM.1.01.F12",1.00,72.00,568.75,-0.33,7.36501319120716e-03,187.75,-0.07,0.43,3541477.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.01.G01",1.00,73.00,253.25,0.09,0.44,314.00,0.18,0.09,890099.00,"RME591985_810","pSymB","SM_b21145","SM_b21145","choline uptake ABC transporter permease"
"2011mTn5STM.1.01.G02",1.00,74.00,651.25,0.04,0.55,1054.75,0.05,0.46,1234970.00,"RME591985_1123","pSymB","SM_b20998","SM_b20998","hypothetical protein"
"2011mTn5STM.1.01.G03",1.00,169.00,260.75,-0.19,0.22,328.00,0.08,0.01,1008192.00,"]--Intergenic--[","pSymA","--"," Intergenic","Non coding"
"2011mTn5STM.1.01.G04",1.00,76.00,447.00,-0.03,0.72,329.50,0.15,0.39,2632641.00,"SME591688_2485","chromosome","SMc01497","smoF","sorbitol/mannitol transport inner membrane transmembrane protein"
"2011mTn5STM.1.01.G05",1.00,77.00,277.75,0.07,0.75,320.00,-0.01,0.89,782665.00,"AE006469_776","pSymA","SMa1418","SMa1418","ABC transporter permease"
"2011mTn5STM.1.01.G06",1.00,78.00,150.00,-0.10,0.53,316.00,0.05,0.50,247130.00,"AE006469_241","pSymA","SMa0462","SMa0462","hypothetical protein"
"2011mTn5STM.1.01.G07",1.00,79.00,191.25,0.13,0.34,234.00,0.18,0.29,2171315.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.01.G08",1.00,181.00,243.00,-0.55,0.02,293.75,-0.35,0.05,1345305.00,"AE006469_1288","pSymA","SMa2381","SMa2381","hypothetical protein"
"2011mTn5STM.1.01.G09",1.00,81.00,1.25,0.31,0.31,3.25,-0.93,0.11,229373.00,"AE006469_224","pSymA","SMa0424","SMa0424","ATP-dependent DNA ligase"
"2011mTn5STM.1.01.G10",1.00,82.00,467.00,0.33,0.02,1296.25,0.22,0.05,452587.00,"SME591688_424","chromosome","SMc01104","mcpX","chemoreceptor methyl-accepting chemotaxis transmembrane protein"
"2011mTn5STM.1.01.G11",1.00,83.00,173.25,-0.38,0.03,193.75,-0.13,0.09,254352.00,"SME591688_228","chromosome","SMc02897","SMc02897","cytochrome C transmembrane protein"
"2011mTn5STM.1.01.G12",1.00,84.00,291.25,0.01,0.95,395.50,0.01,0.84,2500541.00,"SME591688_2353","chromosome","SMc01561","SMc01561","transmembrane protein"
"2011mTn5STM.1.01.H01",1.00,145.00,125.75,0.21,0.11,98.50,0.13,0.37,2312214.00,"]--Intergenic--[","chromosome","SMc01465","creA","CREA protein"
"2011mTn5STM.1.01.H02",1.00,86.00,213.75,0.07,0.29,424.25,6.97294773499837e-03,0.92,2701905.00,"]--Intergenic--[","chromosome","SMc01977","SMc01977","sugar-binding periplasmic ABC transporter protein"
"2011mTn5STM.1.01.H03",1.00,87.00,4.25,-1.13,0.18,5.25,-0.13,0.65,531452.00,"SME591688_492","chromosome","SMc02163","pgi","glucose-6-phosphate isomerase"
"2011mTn5STM.1.01.H04",1.00,88.00,549.50,0.08,0.03,235.25,0.15,0.29,510818.00,"SME591688_473","chromosome","SMc01702","SMc01702","oxidoreductase"
"2011mTn5STM.1.01.H05",1.00,89.00,469.75,-0.09,0.06,283.00,0.04,0.75,1428737.00,"RME591985_1333","pSymB","SM_b21503","SM_b21503","glycosyltransferase"
"2011mTn5STM.1.01.H06",1.00,90.00,298.75,0.08,0.47,468.75,0.04,0.84,893292.00,"AE006469_872","pSymA","SMa1600","SMa1600","Potassium efflux protein"
"2011mTn5STM.1.01.H07",1.00,91.00,155.00,0.44,0.01,830.75,0.58,7.28633966026689e-04,1183343.00,"SME591688_1104","chromosome","SMc02637","SMc02637","hypothetical protein"
"2011mTn5STM.1.01.H08",1.00,92.00,473.25,-0.11,0.29,654.25,-0.15,0.29,819097.00,"SME591688_757","chromosome","SMc00798","SMc00798","hypothetical protein"
"2011mTn5STM.1.01.H09",1.00,146.00,466.75,0.03,0.60,320.00,-0.11,0.59,534932.00,"]--Intergenic--[","pSymB","SM_b22021","SM_b22021","hypothetical protein"
"2011mTn5STM.1.01.H10",1.00,94.00,349.50,-0.23,0.09,439.25,-0.17,0.12,1117711.00,"AE006469_1077","pSymA","SMa1965","SMa1965","hypothetical protein"
"2011mTn5STM.1.01.H11",1.00,95.00,391.75,-0.06,0.51,7.25,-0.13,0.84,303204.00,"AE006469_298","pSymA","SMa0570","cyaF4","CyaF4 adenylate cyclase"
"2011mTn5STM.1.01.H12",1.00,96.00,104.50,0.23,0.55,199.50,0.15,0.54,847036.00,"RME591985_775","pSymB","SM_b21272","SM_b21272","LacI family transcriptional regulator"
"2011mTn5STM.1.02.A01",2.00,97.00,811.00,0.08,0.44,539.00,0.15,0.23,651512.00,"AE006469_645","pSymA","SMa1184","nosF","NosF ATPase"
"2011mTn5STM.1.02.A04",2.00,4.00,794.50,-0.38,0.01,439.75,-0.18,0.54,3226405.00,"SME591688_3037","chromosome","SMc03112","metH","B12-dependent methionine synthase"
"2011mTn5STM.1.02.A05",2.00,5.00,809.25,0.05,0.82,552.00,-0.01,0.91,1674107.00,"RME591985_1564","pSymB","SM_b21645","SM_b21645","ABC transporter permease"
"2011mTn5STM.1.02.A06",2.00,6.00,314.25,-0.15,0.15,300.00,0.19,0.36,1325136.00,"SME591688_1236","chromosome","SMc01780","hppA","membrane-bound proton-translocating pyrophosphatase"
"2011mTn5STM.1.02.A07",2.00,7.00,35.75,-0.59,0.08,347.25,-0.11,0.43,1416837.00,"]--Intergenic--[","pSymB","--"," Intergenic","Non coding"
"2011mTn5STM.1.02.A08",2.00,8.00,464.75,0.05,0.77,418.75,0.13,0.54,1978306.00,"SME591688_1860","chromosome","SMc00185","SMc00185","ABC transporter ATP-binding protein"
"2011mTn5STM.1.02.A09",2.00,9.00,631.75,0.02,0.80,678.25,-0.27,8.33100891773076e-03,2927440.00,"SME591688_2772","chromosome","SMc00649","SMc00649","tRNA/rRNA methyltransferase"
"2011mTn5STM.1.02.A10",2.00,10.00,460.00,0.17,0.36,348.75,0.29,0.41,1545485.00,"SME591688_1462","chromosome","SMc01020","SMc01020","hypothetical protein"
"2011mTn5STM.1.02.A11",2.00,11.00,769.75,-0.21,0.03,244.75,6.24796677448757e-05,0.99,363059.00,"SME591688_341","chromosome","SMc00413","SMc00413","hypothetical protein"
"2011mTn5STM.1.02.A12",2.00,12.00,415.25,-0.65,0.01,449.75,-0.43,0.09,1115062.00,"AE006469_1074","pSymA","SMa1960","SMa1960","hypothetical protein"
"2011mTn5STM.1.02.B01",2.00,13.00,902.00,-0.08,0.67,188.50,-0.35,0.11,1496122.00,"]--Intergenic--[","pSymB","SM_b20695","SM_b20695","hypothetical protein"
"2011mTn5STM.1.02.B03",2.00,15.00,442.25,-0.45,0.02,316.50,-0.41,0.23,1301240.00,"RME591985_1186","pSymB","SM_b20893","gguB","sugar uptake ABC transporter permease"
"2011mTn5STM.1.02.B04",2.00,16.00,272.25,-0.05,0.80,279.00,-0.19,0.28,3453643.00,"SME591688_3229","chromosome","SMc03788","dnaE2","DNA polymerase III subunit alpha"
"2011mTn5STM.1.02.B05",2.00,17.00,201.50,-0.16,0.32,326.00,0.04,0.68,1338354.00,"SME591688_1250","chromosome","SMc01792","SMc01792","sugar transferase"
"2011mTn5STM.1.02.B06",2.00,18.00,208.50,-0.01,0.91,180.50,0.29,0.14,1834465.00,"SME591688_1728","chromosome","SMc00266","SMc00266","transmembrane protein"
"2011mTn5STM.1.02.B07",2.00,19.00,188.25,-0.18,0.48,202.00,-0.14,0.65,661413.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.1.02.B08",2.00,20.00,523.00,-0.20,0.22,196.00,0.12,0.60,3604310.00,"SME591688_3363","chromosome","SMc04399","SMc04399","acyl-COA transferase"
"2011mTn5STM.1.02.B09",2.00,110.00,277.00,-0.27,0.10,259.75,-0.20,0.12,1116158.00,"AE006469_1075","pSymA","SMa1961","SMa1961","polyhydroxybutyrate depolymerase"
"2011mTn5STM.1.02.B10",2.00,22.00,442.75,0.51,0.05,245.00,0.72,1.50538343456629e-03,564435.00,"AE006469_550","pSymA","SMa1016","SMa1016","acyltransferase"
"2011mTn5STM.1.02.B11",2.00,23.00,149.00,0.18,0.26,384.75,-0.08,0.57,1492397.00,"RME591985_1395","pSymB","SM_b20688","SM_b20688","hypothetical protein"
"2011mTn5STM.1.02.C01",2.00,25.00,693.75,0.04,0.77,691.75,-0.20,0.11,671309.00,"SME591688_611","chromosome","SMc02297","SMc02297","integrase/resolvase recombinase"
"2011mTn5STM.1.02.C02",2.00,26.00,377.75,0.08,0.75,172.00,-3.41049665250594e-03,0.98,617250.00,"RME591985_565","pSymB","SM_b20826","SM_b20826","hypothetical protein"
"2011mTn5STM.1.02.C04",2.00,28.00,202.25,-0.62,8.95876972371301e-03,198.00,-0.44,0.16,2621927.00,"SME591688_2475","chromosome","SMc01507","SMc01507","hypothetical protein"
"2011mTn5STM.1.02.C05",2.00,29.00,267.50,0.59,0.18,148.25,0.26,0.49,2133768.00,"]--Intergenic--[","chromosome","SMc04315","SMc04315","transcriptional regulator"
"2011mTn5STM.1.02.C06",2.00,30.00,193.25,-3.57,3.03793657743693e-04,129.75,-3.45,1.5284920954246e-04,2756.00,"SME591688_2","chromosome","SMc02791","aroE","shikimate 5-dehydrogenase"
"2011mTn5STM.1.02.C07",2.00,31.00,167.50,0.74,0.01,253.00,0.68,0.04,2002950.00,"]--Intergenic--[","chromosome","SMc00163","SMc00163","transcriptional regulator"
"2011mTn5STM.1.02.C08",2.00,32.00,173.25,-0.25,0.13,279.50,-0.07,0.65,295686.00,"AE006469_290","pSymA","SMa0557","SMa0557","LysR family transcriptional regulator"
"2011mTn5STM.1.02.C09",2.00,33.00,255.00,0.16,0.17,199.75,0.02,0.79,597300.00,"]--Intergenic--[","pSymA","--"," Intergenic","Non coding"
"2011mTn5STM.1.02.C10",2.00,170.00,403.75,0.48,0.05,320.50,0.56,0.03,105797.00,"RME591985_96","pSymB","SM_b20097","SM_b20097","oxidoreductase"
"2011mTn5STM.1.02.C11",2.00,112.00,133.75,0.53,0.21,336.00,0.08,0.64,2086310.00,"SME591688_1966","chromosome","SMc04257","SMc04257","ABC transporter permease"
"2011mTn5STM.1.02.C12",2.00,36.00,619.25,-0.33,0.15,439.00,-0.14,0.39,2877121.00,"SME591688_2718","chromosome","SMc00702","SMc00702","signal peptide protein"
"2011mTn5STM.1.02.D01",2.00,109.00,572.50,-0.04,0.48,763.00,-0.23,0.03,146508.00,"AE006469_138","pSymA","SMa0259","SMa0259","hypothetical protein"
"2011mTn5STM.1.02.D02",2.00,38.00,385.00,-0.22,0.43,261.25,-0.54,0.01,1061021.00,"AE006469_1028","pSymA","SMa1869","SMa1869","deaminase"
"2011mTn5STM.1.02.D03",2.00,39.00,298.50,-0.33,0.06,257.50,-0.05,0.76,402512.00,"SME591688_378","chromosome","SMc01150","SMc01150","hypothetical protein"
"2011mTn5STM.1.02.D04",2.00,40.00,282.75,-0.02,0.62,183.25,0.10,0.44,1936570.00,"SME591688_1830","chromosome","SMc00481","SMc00481","hypothetical protein"
"2011mTn5STM.1.02.D05",2.00,41.00,350.50,-0.22,0.15,231.25,-0.34,0.23,1240100.00,"AE006469_1195","pSymA","SMa2213","SMa2213","aldehyde dehydrogenase"
"2011mTn5STM.1.02.D06",2.00,42.00,63.75,0.17,0.56,228.50,-7.76203422270004e-03,0.97,1840012.00,"SME591688_1732","chromosome","SMc00270","SMc00270","transketolase subunit alpha"
"2011mTn5STM.1.02.D07",2.00,43.00,595.25,0.80,0.02,460.50,0.80,0.01,1408298.00,"SME591688_1313","chromosome","SMc01373","dinP","DNA polymerase IV"
"2011mTn5STM.1.02.D08",2.00,44.00,336.50,-0.08,0.35,233.50,-0.19,0.18,1536870.00,"]--Intergenic--[","pSymB","SM_b20748","pssF","glycosyltransferase"
"2011mTn5STM.1.02.D09",2.00,45.00,188.50,-0.20,0.25,173.00,0.13,0.22,1832232.00,"SME591688_1725","chromosome","SMc00263","SMc00263","transcriptional regulator"
"2011mTn5STM.1.02.D10",2.00,46.00,123.25,0.20,0.31,149.75,0.11,0.70,331117.00,"AE006469_324","pSymA","SMa0620","SMa0620","hypothetical protein"
"2011mTn5STM.1.02.D11",2.00,47.00,332.25,-0.32,0.06,268.00,0.24,0.43,798687.00,"]--Intergenic--[","chromosome","SMc00778","SMc00778","oxidoreductase"
"2011mTn5STM.1.02.D12",2.00,48.00,549.50,-0.01,0.91,64.50,-9.23094354149549e-03,0.97,702299.00,"AE006469_699","pSymA","SMa1288","SMa1288","Carboxylase"
"2011mTn5STM.1.02.E01",2.00,49.00,710.00,7.10848466082828e-03,0.97,825.75,-0.23,0.17,885333.00,"SME591688_821","chromosome","SMc00898","kefB1","glutathione-regulated potassium-efflux system transmembrane protein"
"2011mTn5STM.1.02.E02",2.00,50.00,382.75,-0.07,0.53,233.50,-0.11,0.29,530528.00,"RME591985_489","pSymB","SM_b20508","SM_b20508","sugar ABC transporter substrate-binding protein"
"2011mTn5STM.1.02.E03",2.00,51.00,187.50,-0.17,0.23,182.00,9.09222895178483e-03,0.96,559051.00,"AE006469_544","pSymA","SMa1008","SMa1008","hypothetical protein"
"2011mTn5STM.1.02.E04",2.00,52.00,163.00,0.96,0.01,451.75,0.95,3.18352171864722e-03,939366.00,"RME591985_854","pSymB","SM_b21189","SM_b21189","glycosyltransferase"
"2011mTn5STM.1.02.E05",2.00,53.00,336.25,-0.37,0.03,372.75,-0.60,0.07,3421687.00,"SME591688_3203","chromosome","SMc03761","SMc03761","hypothetical protein"
"2011mTn5STM.1.02.E06",2.00,54.00,257.00,-0.14,0.44,184.00,-0.13,0.50,2705431.00,"SME591688_2555","chromosome","SMc01980","SMc01980","sugar transport system ATP-binding ABC transporter protein"
"2011mTn5STM.1.02.E07",2.00,55.00,267.75,-0.26,0.15,152.50,0.13,0.39,465263.00,"]--Intergenic--[","pSymA","SMa5029","SMa5029","transposase, fragment"
"2011mTn5STM.1.02.E08",2.00,56.00,468.00,1.23,0.03,584.75,0.92,0.01,193450.00,"]--Intergenic--[","chromosome","SMc02843","nth","endonuclease III protein"
"2011mTn5STM.1.02.E09",2.00,122.00,789.50,0.73,4.04490389923727e-05,382.50,0.74,0.01,2724307.00,"SME591688_2574","chromosome","SMc02021","SMc02021","periplasmic binding ABC transporter protein"
"2011mTn5STM.1.02.E10",2.00,58.00,139.00,-0.54,0.01,318.25,-0.18,0.25,3208112.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
